FSRQ,DWJZ,LJJZ,JZZZL
2023/12/26,1,1,0
2023/12/29,1.0001,1.0001,0
2023/12/31,1.0003,1.0003,0.02
2024/1/2,1.0005,1.0005,0.02
2024/1/3,1.0004,1.0004,-0.01
2024/1/4,0.9981,0.9981,-0.23
2024/1/5,0.9875,0.9875,-1.06
2024/1/8,0.9607,0.9607,-2.71
2024/1/9,0.9497,0.9497,-1.14
2024/1/10,0.9346,0.9346,-1.59
2024/1/11,0.9568,0.9568,2.38
2024/1/12,0.9415,0.9415,-1.6
2024/1/15,0.9317,0.9317,-1.04
2024/1/16,0.9225,0.9225,-0.99
2024/1/17,0.9028,0.9028,-2.14
2024/1/18,0.9131,0.9131,1.14
2024/1/19,0.8952,0.8952,-1.96
2024/1/22,0.8577,0.8577,-4.19
2024/1/23,0.8839,0.8839,3.05
2024/1/24,0.893,0.893,1.03
2024/1/25,0.9107,0.9107,1.98
2024/1/26,0.899,0.899,-1.28
2024/1/29,0.8742,0.8742,-2.76
2024/1/30,0.8591,0.8591,-1.73
2024/1/31,0.816,0.816,-5.02
2024/2/1,0.829,0.829,1.59
2024/2/2,0.7989,0.7989,-3.63
2024/2/5,0.7721,0.7721,-3.35
2024/2/6,0.8197,0.8197,6.17
2024/2/7,0.8387,0.8387,2.32
2024/2/8,0.8642,0.8642,3.04
2024/2/19,0.8904,0.8904,3.03
2024/2/20,0.8847,0.8847,-0.64
2024/2/21,0.8872,0.8872,0.28
2024/2/22,0.9109,0.9109,2.67
2024/2/23,0.9184,0.9184,0.82
2024/2/26,0.9212,0.9212,0.3
2024/2/27,0.9664,0.9664,4.91
2024/2/28,0.9253,0.9253,-4.25
2024/2/29,0.9633,0.9633,4.11
2024/3/1,0.9984,0.9984,3.64
2024/3/4,1,1,0.16
2024/3/5,0.9942,0.9942,-0.58
2024/3/6,0.9865,0.9865,-0.77
2024/3/7,0.9552,0.9552,-3.17
2024/3/8,0.9641,0.9641,0.93
2024/3/11,0.9817,0.9817,1.83
2024/3/12,0.9826,0.9826,0.09
2024/3/13,0.9961,0.9961,1.37
2024/3/14,0.9812,0.9812,-1.5
2024/3/15,0.9833,0.9833,0.21
2024/3/18,1.0012,1.0012,1.82
2024/3/19,0.9954,0.9954,-0.58
2024/3/20,1.0182,1.0182,2.29
2024/3/21,1.015,1.015,-0.31
2024/3/22,1.003,1.003,-1.18
2024/3/25,0.973,0.973,-2.99
2024/3/26,0.9497,0.9497,-2.39
2024/3/27,0.9044,0.9044,-4.77
2024/3/28,0.9397,0.9397,3.9
2024/3/29,0.9281,0.9281,-1.23
2024/4/1,0.952,0.952,2.58
2024/4/2,0.9316,0.9316,-2.14
2024/4/3,0.9079,0.9079,-2.54
2024/4/8,0.898,0.898,-1.09
2024/4/9,0.9048,0.9048,0.76
2024/4/10,0.8851,0.8851,-2.18
2024/4/11,0.8868,0.8868,0.19
2024/4/12,0.8772,0.8772,-1.08
2024/4/15,0.8747,0.8747,-0.28
2024/4/16,0.8466,0.8466,-3.21
2024/4/17,0.876,0.876,3.47
2024/4/18,0.8708,0.8708,-0.59
2024/4/19,0.8506,0.8506,-2.32
2024/4/22,0.8499,0.8499,-0.08
2024/4/23,0.8477,0.8477,-0.26
2024/4/24,0.8744,0.8744,3.15
2024/4/25,0.8625,0.8625,-1.36
2024/4/26,0.8916,0.8916,3.37
2024/4/29,0.9151,0.9151,2.64
2024/4/30,0.9002,0.9002,-1.63
2024/5/6,0.9117,0.9117,1.28
2024/5/7,0.9085,0.9085,-0.35
2024/5/8,0.884,0.884,-2.7
2024/5/9,0.8938,0.8938,1.11
2024/5/10,0.8825,0.8825,-1.26
2024/5/13,0.8717,0.8717,-1.22
2024/5/14,0.8692,0.8692,-0.29
2024/5/15,0.8572,0.8572,-1.38
2024/5/16,0.8603,0.8603,0.36
2024/5/17,0.8756,0.8756,1.78
2024/5/20,0.8853,0.8853,1.11
2024/5/21,0.8793,0.8793,-0.68
2024/5/22,0.8845,0.8845,0.59
2024/5/23,0.8621,0.8621,-2.53
2024/5/24,0.8433,0.8433,-2.18
2024/5/27,0.8484,0.8484,0.6
2024/5/28,0.8365,0.8365,-1.4
2024/5/29,0.8356,0.8356,-0.11
2024/5/30,0.8373,0.8373,0.2
2024/5/31,0.8453,0.8453,0.96
2024/6/3,0.84,0.84,-0.63
2024/6/4,0.8422,0.8422,0.26
2024/6/5,0.8437,0.8437,0.18
2024/6/6,0.8256,0.8256,-2.15
2024/6/7,0.8188,0.8188,-0.82
2024/6/11,0.833,0.833,1.73
2024/6/12,0.8371,0.8371,0.49
2024/6/13,0.8377,0.8377,0.07
2024/6/14,0.8443,0.8443,0.79
2024/6/17,0.838,0.838,-0.75
2024/6/18,0.8498,0.8498,1.41
2024/6/19,0.8373,0.8373,-1.47
2024/6/20,0.8167,0.8167,-2.46
2024/6/21,0.819,0.819,0.28
2024/6/24,0.7967,0.7967,-2.72
2024/6/25,0.7784,0.7784,-2.3
2024/6/26,0.8156,0.8156,4.78
2024/6/27,0.7984,0.7984,-2.11
2024/6/28,0.7855,0.7855,-1.62
2024/6/30,0.7854,0.7854,-0.01
2024/7/1,0.778,0.778,-0.94
2024/7/2,0.7776,0.7776,-0.05
2024/7/3,0.7608,0.7608,-2.16
2024/7/4,0.7427,0.7427,-2.38
2024/7/5,0.7499,0.7499,0.97
2024/7/8,0.724,0.724,-3.45
2024/7/9,0.734,0.734,1.38
2024/7/10,0.7328,0.7328,-0.16
2024/7/11,0.7487,0.7487,2.17
2024/7/12,0.7411,0.7411,-1.02
2024/7/15,0.7284,0.7284,-1.71
2024/7/16,0.7438,0.7438,2.11
2024/7/17,0.7399,0.7399,-0.52
2024/7/18,0.739,0.739,-0.12
2024/7/19,0.7545,0.7545,2.1
2024/7/22,0.7663,0.7663,1.56
2024/7/23,0.7448,0.7448,-2.81
2024/7/24,0.733,0.733,-1.58
2024/7/25,0.7361,0.7361,0.42
2024/7/26,0.7408,0.7408,0.64
2024/7/29,0.7391,0.7391,-0.23
2024/7/30,0.7416,0.7416,0.34
2024/7/31,0.7733,0.7733,4.27
2024/8/1,0.765,0.765,-1.07
2024/8/2,0.7534,0.7534,-1.52
2024/8/5,0.7354,0.7354,-2.39
2024/8/6,0.7388,0.7388,0.46
2024/8/7,0.7347,0.7347,-0.55
2024/8/8,0.7296,0.7296,-0.69
2024/8/9,0.7244,0.7244,-0.71
2024/8/12,0.7142,0.7142,-1.41
2024/8/13,0.7168,0.7168,0.36
2024/8/14,0.7124,0.7124,-0.61
2024/8/15,0.72,0.72,1.07
2024/8/16,0.7138,0.7138,-0.86
2024/8/19,0.7181,0.7181,0.6
2024/8/20,0.7019,0.7019,-2.26
2024/8/21,0.6968,0.6968,-0.73
2024/8/22,0.6845,0.6845,-1.77
2024/8/23,0.6962,0.6962,1.71
2024/8/26,0.6964,0.6964,0.03
2024/8/27,0.6835,0.6835,-1.85
2024/8/28,0.683,0.683,-0.07
2024/8/29,0.6944,0.6944,1.67
2024/8/30,0.7133,0.7133,2.72
2024/9/2,0.6884,0.6884,-3.49
2024/9/3,0.7021,0.7021,1.99
2024/9/4,0.6995,0.6995,-0.37
2024/9/5,0.7047,0.7047,0.74
2024/9/6,0.6932,0.6932,-1.63
2024/9/9,0.6876,0.6876,-0.81
2024/9/10,0.7031,0.7031,2.25
2024/9/11,0.7062,0.7062,0.44
2024/9/12,0.7045,0.7045,-0.24
2024/9/13,0.6965,0.6965,-1.14
2024/9/18,0.699,0.699,0.36
2024/9/19,0.7149,0.7149,2.27
2024/9/20,0.7223,0.7223,1.04
2024/9/23,0.7276,0.7276,0.73
2024/9/24,0.7482,0.7482,2.83
2024/9/25,0.7578,0.7578,1.28
2024/9/26,0.7939,0.7939,4.76
2024/9/27,0.8615,0.8615,8.51
2024/9/30,0.9637,0.9637,11.86
2024/10/8,1.056,1.056,9.58
2024/10/9,1.0291,1.0291,-2.55
2024/10/10,0.9702,0.9702,-5.72
2024/10/11,0.9394,0.9394,-3.17
2024/10/14,0.9929,0.9929,5.7
2024/10/15,0.9738,0.9738,-1.92
2024/10/16,0.9729,0.9729,-0.09
2024/10/17,0.9939,0.9939,2.16
2024/10/18,1.0444,1.0444,5.08
2024/10/21,1.0637,1.0637,1.85
2024/10/22,1.0405,1.0405,-2.18
2024/10/23,1.0312,1.0312,-0.89
2024/10/24,1.0234,1.0234,-0.76
2024/10/25,1.0258,1.0258,0.23
2024/10/28,1.0391,1.0391,1.3
2024/10/29,1.0343,1.0343,-0.46
2024/10/30,1.0573,1.0573,2.22
2024/10/31,1.0616,1.0616,0.41
2024/11/1,1.0095,1.0095,-4.91
2024/11/4,1.03,1.03,2.03
2024/11/5,1.1012,1.1012,6.91
2024/11/6,1.1131,1.1131,1.08
2024/11/7,1.1592,1.1592,4.14
2024/11/8,1.1662,1.1662,0.6
2024/11/11,1.215,1.215,4.18
2024/11/12,1.199,1.199,-1.32
2024/11/13,1.2174,1.2174,1.53
2024/11/14,1.1815,1.1815,-2.95
2024/11/15,1.1366,1.1366,-3.8
2024/11/18,1.0811,1.0811,-4.88
2024/11/19,1.1002,1.1002,1.77
2024/11/20,1.1184,1.1184,1.65
2024/11/21,1.1443,1.1443,2.32
2024/11/22,1.1103,1.1103,-2.97
2024/11/25,1.1093,1.1093,-0.09
2024/11/26,1.0842,1.0842,-2.26
2024/11/27,1.1212,1.1212,3.41
2024/11/28,1.1048,1.1048,-1.46
2024/11/29,1.1407,1.1407,3.25
2024/12/2,1.1467,1.1467,0.53
